95,92Camisolas y pareos,camisolas-pareos,0
96,92Conjuntos de ropa de baño,conjuntos-bano,0
97,92Monokinis,monokinis,0
98,92Trajes de dos piezas,trajes-dos-piezas,0
99,92Trajes de una pieza,trajes-una-pieza,0
100,43Ropa deportiva,deportiva,0
101,100Base layers y compresión,base-layers-compresion,0
102,100Calcetines de deporte,calcetines-deporte,0
103,100Camisetas y camisas deportivas,camisetas-camisas-deportivas,0
104,100Chalecos deportivos,chalecos-deportivos,0
105,100Chaquetas deportivas,chaquetas-deportivas,0
106,100Conjuntos deportivos,conjuntos-deportivos,0
107,100Faldas,faldas-107,0
108,100Leggings,leggings-108,0
109,100Pantalones cortos deportivos,pantalones-cortos-deportivos,0
110,100Pantalones deportivos,pantalones-deportivos,0
111,100Ropa de punto deportiva,punto-deportiva,0
112,100Ropa interior deportiva,interior-deportiva,0
113,100Sudaderas,sudaderas,0
114,100Vestido deportivo,vestido-deportivo,0
115,43Ropa impermeable y de nieve,impermeable-nieve,0
116,115Abrigos impermeables,abrigos-impermeables-116,0
117,115Abrigos para la nieve,abrigos-nieve,0
118,115Pantalones impermeables,pantalones-impermeables,0
119,115Pantalones y monos para la nieve,pantalones-monos-nieve,0
120,43Ropa interior,interior-120,0
121,120Braguitas,braguitas,0
122,120Camisetas de tirantes,camisetas-tirantes-122,0
123,120Combinaciones,combinaciones,0
124,120Sujetadores,sujetadores,0
125,120Térmicos,termicos,0
126,43Sudaderas,sudaderas-126,0
127,126Sudaderas con capucha,sudaderas-con-capucha,0
128,126Sudaderas sin capucha,sudaderas-capucha,0
129,43Vaqueros,vaqueros-129,0
130,43Vestidos,vestidos-130,0
131,0Chicos,chicos,0
132,131Accesorios,accesorios-132,0
133,132Bufandas,bufandas-133,0
134,132Cinturones,cinturones-134,0
135,132Corbatas y pajaritas,corbatas-pajaritas,0
136,132Diademas de moda,diademas-moda-136,0
137,132Diademas deportivas,diademas-deportivas-137,0
138,132Gafas y accesorios,gafas-accesorios-138,0
139,132Guantes,guantes-139,0
140,132Manguitos y calentadores,manguitos-calentadores-140,0
141,132Orejeras,orejeras-141,0
142,132Pasamontañas,pasamontanas-142,0
143,132Pañuelos,panuelos-143,0
144,"132Set de bufanda, gorro y guantes",set-bufanda-gorro-guantes-144,0
145,132Sombreros y gorras,sombreros-gorras-145,0
146,132Tirantes,tirantes-146,0
147,131Calcetines y calcetería,calcetines-calceteria,0
148,147Calcetines,calcetines-148,0
149,147Calcetines antideslizantes,calcetines-antideslizantes,0
150,"131Camisetas, polos y camisas",camisetas-polos-camisas,0
151,150Camisas,camisas,0
152,150Camisetas de manga corta,camisetas-manga-corta-152,0
153,150Camisetas de manga larga,camisetas-manga-larga-153,0
154,150Camisetas de tirantes,camisetas-tirantes-154,0
155,150Polos,polos-155,0
156,131Conjuntos,conjuntos-156,0
157,131Monos,monos,0
158,131Pantalones,pantalones-158,0
159,131Pantalones cortos,pantalones-cortos-159,0
160,131Pijamas y batas,pijamas-batas-160,0
161,160Albornoces,albornoces-161,0
162,160Camisetas de pijama,camisetas-pijama-162,0
163,160Pantalones de pijama,pantalones-pijama-163,0
164,160Pijamas de una pieza,pijamas-una-pieza-164,0
165,160Pijamas dos piezas,pijamas-dos-piezas,0
166,131Prendas de punto,prendas-punto-166,0
167,131Ropa de abrigo,abrigo-167,0
